Subject,Marks,Hours,Student_id,Year
Language,73.6,2.7,S10000,3
Science,94.0,7.7,S10000,3
Maths,77.5,2.4,S10000,3
Language,70.0,2.8,S10001,4
Science,63.3,1.4,S10001,4
Maths,85.0,4.6,S10001,4
Language,83.3,2.3,S10002,1
Science,93.3,6.1,S10002,1
Maths,70.9,5.8,S10002,1
Language,72.8,1.7,S10003,3
Science,87.5,6.6,S10003,3
Maths,49.7,7.7,S10003,3
Language,77.3,1.0,S10004,3
Science,65.3,1.1,S10004,3
Maths,67.7,6.2,S10004,3
Language,82.1,1.3,S10005,4
Science,97.0,6.3,S10005,4
Maths,77.7,6.4,S10005,4
Language,67.7,2.7,S10006,1
Science,95.1,4.4,S10006,1
Maths,35.4,1.5,S10006,1
Language,71.3,1.1,S10007,1
Science,84.5,3.4,S10007,1
Maths,58.0,7.6,S10007,1
Language,79.7,1.1,S10008,3
Science,84.0,3.1,S10008,3
Maths,81.8,1.5,S10008,3
Language,73.0,2.4,S10009,2
Science,63.2,1.4,S10009,2
Maths,67.9,3.1,S10009,2
Language,81.9,1.5,S10010,3
Science,84.4,7.5,S10010,3
Maths,72.2,3.8,S10010,3
Language,78.2,2.0,S10011,3
Science,76.4,2.6,S10011,3
Maths,75.2,5.2,S10011,3
Language,72.2,1.7,S10012,3
Science,90.7,7.2,S10012,3
Maths,96.9,4.5,S10012,3
Language,67.5,2.2,S10013,3
Science,59.5,1.5,S10013,3
Maths,82.8,6.0,S10013,3
Language,73.2,2.6,S10014,4
Science,100.0,4.6,S10014,4
Maths,48.9,2.0,S10014,4
Language,79.4,2.0,S10015,1
Science,81.7,3.0,S10015,1
Maths,45.8,1.4,S10015,1
Language,69.4,2.5,S10016,4
Science,79.1,2.9,S10016,4
Maths,66.4,5.9,S10016,4
Language,84.6,1.2,S10017,4
Science,88.6,3.5,S10017,4
Maths,70.1,3.2,S10017,4
Language,71.2,2.6,S10018,4
Science,92.7,7.4,S10018,4
Maths,74.3,3.6,S10018,4
Language,85.9,1.8,S10019,3
Science,100.0,5.4,S10019,3
Maths,66.8,5.7,S10019,3
Language,65.2,2.9,S10020,2
Science,72.3,1.7,S10020,2
Maths,53.4,6.5,S10020,2
Language,77.2,1.7,S10021,1
Science,72.3,7.7,S10021,1
Maths,75.2,4.2,S10021,1
Language,71.0,1.4,S10022,2
Science,56.9,1.4,S10022,2
Maths,78.5,6.4,S10022,2
Language,69.9,2.7,S10023,4
Science,73.1,2.5,S10023,4
Maths,91.6,7.2,S10023,4
Language,82.9,1.4,S10024,4
Science,89.0,3.1,S10024,4
Maths,79.1,2.0,S10024,4
Language,81.1,1.6,S10025,2
Science,100.0,5.5,S10025,2
Maths,48.6,2.4,S10025,2
Language,66.6,2.8,S10026,2
Science,56.9,1.4,S10026,2
Maths,33.8,1.8,S10026,2
Language,72.1,2.7,S10027,2
Science,53.4,1.1,S10027,2
Maths,43.0,1.1,S10027,2
Language,77.9,1.2,S10028,4
Science,74.8,3.8,S10028,4
Maths,74.2,4.7,S10028,4
Language,75.6,1.9,S10029,4
Science,96.6,7.7,S10029,4
Maths,77.2,3.2,S10029,4
Language,73.1,2.5,S10030,1
Science,93.7,7.8,S10030,1
Maths,56.4,1.9,S10030,1
Language,78.5,1.5,S10031,1
Science,65.9,1.1,S10031,1
Maths,67.6,4.6,S10031,1
Language,81.4,1.7,S10032,4
Science,79.2,7.8,S10032,4
Maths,70.1,6.9,S10032,4
Language,78.9,1.9,S10033,2
Science,86.0,3.8,S10033,2
Maths,57.3,2.6,S10033,2
Language,85.9,1.5,S10034,2
Science,92.5,4.3,S10034,2
Maths,68.1,1.4,S10034,2
Language,79.3,1.2,S10035,1
Science,82.7,3.6,S10035,1
Maths,51.0,2.0,S10035,1
